,이뇨감,관절 통증,속쓰림,배 뭉침,졸림,입덧,변비·치질,부종(부기),어지럼증,불면·수면장애
4,1,0,0,1,1,1,0,0,0,0
5,1,0,0,1,1,1,0,0,0,0
6,1,0,0,1,1,1,0,0,0,0
7,1,0,0,1,0,1,1,0,0,0
8,0,0,0,1,0,1,0,0,0,0
9,0,0,0,1,1,1,0,0,0,0
10,0,0,1,1,1,1,0,0,1,0
11,0,0,1,1,0,1,0,0,1,0
12,0,0,1,1,0,1,0,0,1,0
13,1,0,1,1,0,0,1,1,1,0
14,1,0,1,1,0,0,1,1,1,0
15,1,0,1,1,0,0,1,1,1,0
16,1,0,1,1,0,0,1,1,1,0
17,1,0,1,1,1,0,1,1,1,1
18,1,0,1,1,1,0,1,1,1,1
19,1,1,1,1,1,0,1,1,1,1
20,1,0,1,1,1,0,1,1,1,1
21,1,0,1,1,1,0,1,1,1,1
22,1,0,1,1,1,0,1,1,1,1
23,1,0,1,1,1,0,1,1,1,1
24,1,0,1,1,1,0,1,1,1,1
25,1,0,1,1,1,0,1,1,1,1
26,1,0,1,1,1,0,1,1,1,1
27,1,0,1,1,1,0,1,1,1,1
28,1,0,1,1,0,0,1,1,1,1
29,1,0,1,1,0,0,1,1,1,1
30,1,0,1,1,0,0,1,1,1,1
31,1,0,1,1,0,0,1,1,1,1
32,1,1,0,0,0,0,0,0,0,0
33,1,1,0,1,0,0,0,0,0,0
34,1,1,0,1,0,0,0,1,0,0
35,0,0,0,0,0,0,0,0,1,0
36,0,0,0,0,0,0,0,1,0,0
37,0,0,0,1,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0
39,0,0,0,1,0,0,0,0,0,0
